"Kota","Tanggal","Kategori","SubKategori","Rating.round","Keterangan","UnitTerjual_sum","UnitTerjual_mean","Harga_sum","Harga_mean","Diskon_sum","Diskon_mean","OmsetPenjualan_sum","OmsetPenjualan_mean","jumlahProduk"
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","1","Grosir",27,9,291500,97166.6666666667,0,0,528000,176000,3
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","1","None",596,49.6666666666667,1366200,113850,0,0,2388200,199016.666666667,12
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","2","None",5,1.66666666666667,366900,122300,0.24,0.08,583800,194600,3
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","3","Grosir",112,112,12500,12500,0,0,1400000,1400000,1
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","3","None",72,3.78947368421053,1388700,73089.4736842105,0,0,3291200,173221.052631579,19
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","4","Grosir",902,37.5833333333333,1072447,44685.2916666667,0,0,13355039,556459.958333333,24
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","4","None",44364,305.958620689655,11590517,79934.6,0,0,179907293,1240739.95172414,145
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","5","Grosir",43848,353.612903225806,3782047,30500.3790322581,0,0,294397708,2374175.06451613,124
"Jakarta Barat","07/05/2021","Peralatan Ibadah","Tasbih","5","None",639806,928.600870827286,59820208,86821.7822931785,0,0,3047462628,4423022.68214804,689
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","1","None",25,1.19047619047619,2169043,103287.761904762,0,0,2672890,127280.476190476,21
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","2","Grosir",2,1,187000,93500,0,0,187000,93500,2
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","2","None",46,2.3,2056572,102828.6,0,0,4655140,232757,20
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","3","Grosir",13,1.44444444444444,689997,76666.3333333333,0,0,951994,105777.111111111,9
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","3","None",170,3.03571428571429,5133087,91662.2678571429,0.7,0.0125,12707958,226927.821428571,56
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","4","Grosir",513,10.9148936170213,2924609,62225.7234042553,0,0,22431682,477269.829787234,47
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","4","None",6513,28.6916299559471,19540733,86082.5242290749,0.72,0.00317180616740088,416766305,1835974.91189427,227
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","5","Grosir",4183,37.6846846846847,7987243,71957.1441441441,0,0,305316958,2750603.22522523,111
"Jakarta Barat","09/05/2021","Atasan Wanita","Blouse","5","None",50800,80.5071315372425,61786392,97918.2123613312,7.92,0.0125515055467512,3273077788,5187128.03169572,631
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","1","None",22,2.75,602499,75312.375,0,0,1611999,201499.875,8
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","2","Grosir",1,1,15500,15500,0,0,15500,15500,1
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","2","None",8,2.66666666666667,78400,26133.3333333333,0,0,213300,71100,3
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","3","Grosir",47,47,12000,12000,0,0,564000,564000,1
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","3","None",220,11.5789473684211,515940,27154.7368421053,0,0,2927390,154073.157894737,19
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","4","Grosir",4109,158.038461538462,568000,21846.1538461538,0,0,72497000,2788346.15384615,26
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","4","None",5667,70.8375,2118296,26478.7,0.45,0.005625,108302799,1353784.9875,80
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","5","Grosir",14476,229.777777777778,1921198,30495.2063492063,0,0,336512190,5341463.33333333,63
"Jakarta Barat","09/05/2021","Atasan Wanita","Manset","5","None",45546,120.492063492063,12647767,33459.7010582011,3.45,0.00912698412698413,1199356515,3172900.83333333,378
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","1","Grosir",2,1,270999,135499.5,0,0,270999,135499.5,2
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","1","None",34,2.125,2883098,180193.625,0,0,5531097,345693.5625,16
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","2","Grosir",7,2.33333333333333,554232,184744,0,0,1113131,371043.666666667,3
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","2","None",28,1.86666666666667,2455998,163733.2,0,0,4539997,302666.466666667,15
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","3","Grosir",32,2.90909090909091,1464316,133119.636363636,0,0,4041904,367445.818181818,11
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","3","None",123,1.64,10653688,142049.173333333,0,0,16963187,226175.826666667,75
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","4","Grosir",850,19.3181818181818,6120575,139103.977272727,0,0,107310121,2438866.38636364,44
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","4","None",2541,11.1447368421053,35203557,154401.565789474,1.41,0.00618421052631579,340469393,1493286.81140351,228
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","5","Grosir",34533,138.132,41460759,165843.036,0,0,5253816729,21015266.916,250
"Jakarta Barat","09/05/2021","Atasan Wanita","Syari","5","None",24458,28.5724299065421,164597782,192287.128504673,3.3,0.00385514018691589,5032074743,5878591.98948598,856
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","1","Grosir",3,1.5,137900,68950,0,0,197800,98900,2
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","1","None",119,2.16363636363636,4378441,79608.0181818182,0,0,8382283,152405.145454545,55
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","2","Grosir",19,3.8,301300,60260,0,0,957300,191460,5
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","2","None",154,2.44444444444444,5103387,81006.1428571429,0,0,11768373,186799.571428571,63
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","3","Grosir",60,2.14285714285714,1986187,70935.25,0,0,3709484,132481.571428571,28
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","3","None",644,2.91402714932127,16195319,73281.9864253394,0.6,0.00271493212669683,42067806,190352.063348416,221
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","4","Grosir",1641,14.025641025641,7850191,67095.6495726496,0,0,96360632,823595.145299145,117
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","4","None",19189,21.2738359201774,72360946,80222.77827051,1.11,0.00123059866962306,1076445879,1193398.9789357,902
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","5","Grosir",22844,55.1787439613527,28329438,68428.5942028985,0,0,1582879725,3823380.97826087,414
"Jakarta Barat","09/05/2021","Atasan Wanita","Tunik","5","None",114810,39.7679251818497,277814415,96229.4475233807,30.71,0.0106373397990994,9528077758,3300338.6761344,2887
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","1","None",5,1,345005,69001,0,0,345005,69001,5
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","2","Grosir",1,1,99000,99000,0,0,99000,99000,1
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","2","None",5,2.5,150000,75000,0,0,435000,217500,2
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","3","Grosir",6,6,70000,70000,0,0,420000,420000,1
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","3","None",3,1.5,154000,77000,0,0,233000,116500,2
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","4","Grosir",43,8.6,555398,111079.6,0,0,4379388,875877.6,5
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","4","None",128,8.53333333333333,1545900,103060,0.43,0.0286666666666667,13711300,914086.666666667,15
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","5","Grosir",2586,172.4,1564799,104319.933333333,0,0,246181165,16412077.6666667,15
"Jakarta Barat","09/05/2021","Bawahan Wanita","Kulot","5","None",2367,43.0363636363636,5706898,103761.781818182,1.02,0.0185454545454545,174336968,3169763.05454545,55
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","1","None",3,1,191000,63666.6666666667,0,0,191000,63666.6666666667,3
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","2","None",12,6,120599,60299.5,0,0,477998,238999,2
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","3","None",43,4.3,703400,70340,0,0,1875200,187520,10
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","4","Grosir",70,10,560985,80140.7142857143,0,0,5820364,831480.571428571,7
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","4","None",1907,31.7833333333333,4506894,75114.9,0,0,93550048,1559167.46666667,60
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","5","Grosir",4623,118.538461538462,3389493,86910.0769230769,0,0,259029185,6641773.97435897,39
"Jakarta Barat","09/05/2021","Bawahan Wanita","Rok","5","None",14945,50.1510067114094,25218133,84624.6073825503,2.38,0.00798657718120805,1124808081,3774523.76174497,298
"Jakarta Barat","09/05/2021","Dress","Abaya","1","None",2,1,222500,111250,0,0,222500,111250,2
"Jakarta Barat","09/05/2021","Dress","Abaya","2","None",6,2,530000,176666.666666667,0,0,908000,302666.666666667,3
"Jakarta Barat","09/05/2021","Dress","Abaya","3","None",4,1.33333333333333,628000,209333.333333333,0,0,863000,287666.666666667,3
"Jakarta Barat","09/05/2021","Dress","Abaya","4","Grosir",107,53.5,122700,61350,0,0,6882000,3441000,2
"Jakarta Barat","09/05/2021","Dress","Abaya","4","None",125,7.8125,3206298,200393.625,0,0,23690098,1480631.125,16
"Jakarta Barat","09/05/2021","Dress","Abaya","5","Grosir",877,32.4814814814815,4947767,183250.62962963,0,0,167928821,6219585.96296296,27
"Jakarta Barat","09/05/2021","Dress","Abaya","5","None",2098,21.6288659793814,21987748,226677.81443299,1.05,0.0108247422680412,528994908,5453555.75257732,97
"Jakarta Barat","09/05/2021","Dress","Gamis","1","Grosir",10,1.42857142857143,772500,110357.142857143,0,0,1218500,174071.428571429,7
"Jakarta Barat","09/05/2021","Dress","Gamis","1","None",123,1.89230769230769,8397062,129185.569230769,0,0,14505571,223162.630769231,65
"Jakarta Barat","09/05/2021","Dress","Gamis","2","Grosir",5,2.5,246894,123447,0,0,624594,312297,2
"Jakarta Barat","09/05/2021","Dress","Gamis","2","None",102,2.61538461538462,5000235,128211.153846154,0,0,12739764,326660.615384615,39
"Jakarta Barat","09/05/2021","Dress","Gamis","3","Grosir",37,2.46666666666667,1972798,131519.866666667,0,0,5266497,351099.8,15
"Jakarta Barat","09/05/2021","Dress","Gamis","3","None",402,2.56050955414013,21108393,134448.363057325,0,0,47996482,305710.076433121,157
"Jakarta Barat","09/05/2021","Dress","Gamis","4","Grosir",2046,26.5714285714286,9695987,125921.909090909,0,0,180479417,2343888.53246753,77
"Jakarta Barat","09/05/2021","Dress","Gamis","4","None",9701,13.2527322404372,99345735,135718.217213115,2.01,0.00274590163934426,973674066,1330155.82786885,732
"Jakarta Barat","09/05/2021","Dress","Gamis","5","Grosir",57862,98.572402044293,84410992,143800.667802385,0,0,7122897284,12134407.6388416,587
"Jakarta Barat","09/05/2021","Dress","Gamis","5","None",95402,26.6040156162856,551720023,153853.882598996,37.91,0.0105716675962075,11543785002,3219125.76742889,3586
"Jakarta Barat","09/05/2021","Dress","Jumpsuit","1","None",2,1,330000,165000,0,0,330000,165000,2
